index,extension,location,working_hours,price,const_year,model,L,RR,LR,GC,VA,SA,N,XE,LGP,XL,3B,4F
0,D,FI,8973,44900,2011,308,0,0,0,0,0,0,0,0,0,0,0,0
1,E2,PL,4183,49040,2016,308,0,0,0,0,0,0,0,0,0,0,0,0
2,E2,PL,4655,57943,2017,308,0,0,0,0,0,0,0,0,0,0,0,0
3,E2,GB,3175,45335,2015,308,0,0,0,0,0,0,0,0,0,0,0,0
4,E2,GB,2500,51222,2018,308,0,0,0,0,0,0,0,0,0,0,0,0
5,D,IT,6000,38000,2010,308,0,0,0,0,0,0,0,0,0,0,0,0
6,E2,FR,3018,59500,2017,308,0,0,0,0,0,0,0,0,0,0,0,0
7,D,FI,8055,42900,2011,308,0,0,0,0,0,0,0,0,0,0,0,0
8,E2,DE,3071,41176,2017,308,0,0,0,0,0,0,0,0,0,0,0,0
10,C,DE,5541,39900,2008,308,0,0,0,0,0,0,0,0,0,0,0,0
11,E,DE,7099,46500,2012,308,0,0,0,0,0,0,0,0,0,0,0,0
12,E2,DE,3400,50000,2014,308,0,0,0,0,0,0,0,0,0,0,0,0
13,E,DE,4209,47000,2014,308,0,0,0,0,0,0,0,0,0,0,0,0
14,E2,GB,2000,64554,2019,308,0,0,0,0,0,0,0,0,0,0,0,0
16,E,GB,4500,38132,2014,308,0,0,0,0,0,0,0,0,0,0,0,0
17,D,FR,6390,30000,2010,308,0,0,0,0,0,0,0,0,0,0,0,0
18,E2,FR,2956,60000,2017,308,0,0,0,0,0,0,0,0,0,0,0,0
19,E2,SE,4223,65460,2016,308,0,0,0,0,0,0,0,0,0,0,0,0
20,E2,FI,4257,69900,2017,308,0,0,0,0,0,0,0,0,0,0,0,0
21,E2,SE,6800,54654,2014,308,0,0,0,0,0,0,0,0,0,0,0,0
22,E2,DE,2568,61890,2016,308,0,0,0,0,0,0,0,0,0,0,0,0
23,E2,GB,3900,45300,2017,308,0,0,0,0,0,0,0,0,0,0,0,0
24,E2,GB,3275,44704,2015,308,0,0,0,0,0,0,0,0,0,0,0,0
26,E2,CH,2023,70743,2018,308,0,0,0,0,0,0,0,0,0,0,0,0
28,E2,SE,1680,77353,2017,308,0,0,0,0,0,0,0,0,0,0,0,0
29,E,ES,2600,80000,2018,308,0,0,0,0,0,0,0,0,0,0,0,0
30,E2,SE,4500,63164,2015,308,0,0,0,0,0,0,0,0,0,0,0,0
31,E,FR,1800,80000,2020,308,0,0,0,0,0,0,0,0,0,0,0,0
32,D,AT,3245,55500,2012,308,0,0,0,0,0,0,0,0,0,0,0,0
33,E,DE,5900,39500,2012,308,0,0,0,0,0,0,0,0,0,0,0,0
34,E,DE,2155,77900,2018,308,0,0,0,0,0,0,0,0,0,0,0,0
35,E2,GB,1972,82694,2019,308,0,0,0,0,0,0,0,0,0,0,0,0
36,E,BE,2885,41000,2013,308,0,0,0,0,0,0,0,0,0,0,0,0
